"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43493","Tools and Services menu shows submenus","","2026-07-10","passed","2026-07-10","","","",""
"","15154","First footer heading navigates correctly","","2026-07-10","passed","2026-07-10","","","",""
"","1","User can log out from the partner portal","","2026-07-10","skipped","2026-07-10","","","",""
"","73393","Orders menu shows submenus","","2026-07-10","passed","2026-07-10","","","",""
"","12939","Third footer consumer link navigates correctly","","2026-07-10","passed","2026-07-10","","","",""
"","89099","Sales and Marketing menu shows submenus","","2026-07-10","broken","2026-07-10","","","",""
"","1","Login fails with invalid credentials","","2026-07-10","skipped","2026-07-10","","","",""
"","15647","Training menu shows submenus","","2026-07-10","passed","2026-07-10","","","",""
"","0","The pre-login page loads successfully","","2026-07-10","skipped","2026-07-10","","","",""
"","0","Log in with credentials from Excel","","2026-07-10","skipped","2026-07-10","","","",""
