"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12597","Third footer consumer link navigates correctly","","2026-08-02","passed","2026-08-02","","","",""
"","56883","Training menu shows submenus","","2026-08-02","passed","2026-08-02","","","",""
"","104324","Sales and Marketing menu shows submenus","","2026-08-02","passed","2026-08-02","","","",""
"","0","Log in with credentials from Excel","","2026-08-02","skipped","2026-08-02","","","",""
"","25166","Orders menu shows submenus","","2026-08-02","passed","2026-08-02","","","",""
"","0","Login fails with invalid credentials","","2026-08-02","skipped","2026-08-02","","","",""
"","0","User can log out from the partner portal","","2026-08-02","skipped","2026-08-02","","","",""
"","1","The pre-login page loads successfully","","2026-08-02","skipped","2026-08-02","","","",""
"","13084","First footer heading navigates correctly","","2026-08-02","passed","2026-08-02","","","",""
"","10812","Tools and Services menu shows submenus","","2026-08-02","passed","2026-08-02","","","",""
