"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","The pre-login page loads successfully","","2026-09-20","skipped","2026-09-20","","","",""
"","50017","Orders menu shows submenus","","2026-09-20","failed","2026-09-20","","","",""
"","1","User can log out from the partner portal","","2026-09-20","skipped","2026-09-20","","","",""
"","19720","Third footer consumer link navigates correctly","","2026-09-20","failed","2026-09-20","","","",""
"","20121","Tools and Services menu shows submenus","","2026-09-20","failed","2026-09-20","","","",""
"","0","Log in with credentials from Excel","","2026-09-20","skipped","2026-09-20","","","",""
"","0","Login fails with invalid credentials","","2026-09-20","skipped","2026-09-20","","","",""
"","44748","Training menu shows submenus","","2026-09-20","failed","2026-09-20","","","",""
"","19580","First footer heading navigates correctly","","2026-09-20","failed","2026-09-20","","","",""
"","147715","Sales and Marketing menu shows submenus","","2026-09-20","failed","2026-09-20","","","",""
