"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","The pre-login page loads successfully","","2026-07-04","skipped","2026-07-04","","","",""
"","26438","Training menu shows submenus","","2026-07-04","passed","2026-07-04","","","",""
"","130399","Sales and Marketing menu shows submenus","","2026-07-04","passed","2026-07-04","","","",""
"","89524","Orders menu shows submenus","","2026-07-04","passed","2026-07-04","","","",""
"","10117","Tools and Services menu shows submenus","","2026-07-04","passed","2026-07-04","","","",""
"","10815","First footer heading navigates correctly","","2026-07-04","passed","2026-07-04","","","",""
"","0","User can log out from the partner portal","","2026-07-04","skipped","2026-07-04","","","",""
"","1","Login fails with invalid credentials","","2026-07-04","skipped","2026-07-04","","","",""
"","9649","Third footer consumer link navigates correctly","","2026-07-04","passed","2026-07-04","","","",""
"","1","Log in with credentials from Excel","","2026-07-04","skipped","2026-07-04","","","",""
