"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33668","First footer heading navigates correctly","","2026-08-24","failed","2026-08-24","","","",""
"","1","Login fails with invalid credentials","","2026-08-24","skipped","2026-08-24","","","",""
"","18917","Third footer consumer link navigates correctly","","2026-08-24","failed","2026-08-24","","","",""
"","0","Log in with credentials from Excel","","2026-08-24","skipped","2026-08-24","","","",""
"","86330","Orders menu shows submenus","","2026-08-24","broken","2026-08-24","","","",""
"","0","The pre-login page loads successfully","","2026-08-24","skipped","2026-08-24","","","",""
"","55479","Tools and Services menu shows submenus","","2026-08-24","failed","2026-08-24","","","",""
"","1","User can log out from the partner portal","","2026-08-24","skipped","2026-08-24","","","",""
"","84583","Sales and Marketing menu shows submenus","","2026-08-24","broken","2026-08-24","","","",""
"","36297","Training menu shows submenus","","2026-08-24","failed","2026-08-24","","","",""
