"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","96135","First footer heading navigates correctly","","2026-08-25","broken","2026-08-25","","","",""
"","74177","Orders menu shows submenus","","2026-08-25","failed","2026-08-25","","","",""
"","1","Log in with credentials from Excel","","2026-08-25","skipped","2026-08-25","","","",""
"","0","The pre-login page loads successfully","","2026-08-25","skipped","2026-08-25","","","",""
"","0","User can log out from the partner portal","","2026-08-25","skipped","2026-08-25","","","",""
"","0","Login fails with invalid credentials","","2026-08-25","skipped","2026-08-25","","","",""
"","141381","Sales and Marketing menu shows submenus","","2026-08-25","failed","2026-08-25","","","",""
"","23578","Third footer consumer link navigates correctly","","2026-08-25","failed","2026-08-25","","","",""
"","96362","Training menu shows submenus","","2026-08-25","broken","2026-08-25","","","",""
"","78806","Tools and Services menu shows submenus","","2026-08-25","broken","2026-08-25","","","",""
