"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Log in with credentials from Excel","","2026-07-28","skipped","2026-07-28","","","",""
"","105896","Orders menu shows submenus","","2026-07-28","passed","2026-07-28","","","",""
"","72073","Sales and Marketing menu shows submenus","","2026-07-28","broken","2026-07-28","","","",""
"","19242","First footer heading navigates correctly","","2026-07-28","passed","2026-07-28","","","",""
"","0","User can log out from the partner portal","","2026-07-28","skipped","2026-07-28","","","",""
"","0","The pre-login page loads successfully","","2026-07-28","skipped","2026-07-28","","","",""
"","12997","Third footer consumer link navigates correctly","","2026-07-28","passed","2026-07-28","","","",""
"","27027","Training menu shows submenus","","2026-07-28","passed","2026-07-28","","","",""
"","0","Login fails with invalid credentials","","2026-07-28","skipped","2026-07-28","","","",""
"","58363","Tools and Services menu shows submenus","","2026-07-28","passed","2026-07-28","","","",""
