"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Login fails with invalid credentials","","2026-07-21","skipped","2026-07-21","","","",""
"","0","The pre-login page loads successfully","","2026-07-21","skipped","2026-07-21","","","",""
"","32447","Training menu shows submenus","","2026-07-21","passed","2026-07-21","","","",""
"","80877","Sales and Marketing menu shows submenus","","2026-07-21","passed","2026-07-21","","","",""
"","12952","First footer heading navigates correctly","","2026-07-21","passed","2026-07-21","","","",""
"","59160","Orders menu shows submenus","","2026-07-21","passed","2026-07-21","","","",""
"","0","Log in with credentials from Excel","","2026-07-21","skipped","2026-07-21","","","",""
"","1","User can log out from the partner portal","","2026-07-21","skipped","2026-07-21","","","",""
"","13041","Tools and Services menu shows submenus","","2026-07-21","passed","2026-07-21","","","",""
"","13049","Third footer consumer link navigates correctly","","2026-07-21","passed","2026-07-21","","","",""
