"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61431","Training menu shows submenus","","2026-08-17","failed","2026-08-17","","","",""
"","0","User can log out from the partner portal","","2026-08-17","skipped","2026-08-17","","","",""
"","1","Log in with credentials from Excel","","2026-08-17","skipped","2026-08-17","","","",""
"","23908","Tools and Services menu shows submenus","","2026-08-17","failed","2026-08-17","","","",""
"","0","The pre-login page loads successfully","","2026-08-17","skipped","2026-08-17","","","",""
"","1","Login fails with invalid credentials","","2026-08-17","skipped","2026-08-17","","","",""
"","100673","Third footer consumer link navigates correctly","","2026-08-17","broken","2026-08-17","","","",""
"","42745","Orders menu shows submenus","","2026-08-17","failed","2026-08-17","","","",""
"","134192","Sales and Marketing menu shows submenus","","2026-08-17","broken","2026-08-17","","","",""
"","20496","First footer heading navigates correctly","","2026-08-17","failed","2026-08-17","","","",""
