"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Login fails with invalid credentials","","2026-07-12","skipped","2026-07-12","","","",""
"","1","Log in with credentials from Excel","","2026-07-12","skipped","2026-07-12","","","",""
"","12115","Training menu shows submenus","","2026-07-12","passed","2026-07-12","","","",""
"","10086","Tools and Services menu shows submenus","","2026-07-12","passed","2026-07-12","","","",""
"","0","The pre-login page loads successfully","","2026-07-12","skipped","2026-07-12","","","",""
"","51233","Orders menu shows submenus","","2026-07-12","passed","2026-07-12","","","",""
"","1","User can log out from the partner portal","","2026-07-12","skipped","2026-07-12","","","",""
"","32962","Third footer consumer link navigates correctly","","2026-07-12","passed","2026-07-12","","","",""
"","122710","Sales and Marketing menu shows submenus","","2026-07-12","passed","2026-07-12","","","",""
"","12087","First footer heading navigates correctly","","2026-07-12","passed","2026-07-12","","","",""
