"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22738","Training menu shows submenus","","2026-08-27","failed","2026-08-27","","","",""
"","0","The pre-login page loads successfully","","2026-08-27","skipped","2026-08-27","","","",""
"","1","User can log out from the partner portal","","2026-08-27","skipped","2026-08-27","","","",""
"","58684","Orders menu shows submenus","","2026-08-27","failed","2026-08-27","","","",""
"","1","Log in with credentials from Excel","","2026-08-27","skipped","2026-08-27","","","",""
"","20863","Third footer consumer link navigates correctly","","2026-08-27","failed","2026-08-27","","","",""
"","0","Login fails with invalid credentials","","2026-08-27","skipped","2026-08-27","","","",""
"","19378","First footer heading navigates correctly","","2026-08-27","failed","2026-08-27","","","",""
"","49516","Tools and Services menu shows submenus","","2026-08-27","failed","2026-08-27","","","",""
"","93431","Sales and Marketing menu shows submenus","","2026-08-27","broken","2026-08-27","","","",""
