"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20711","First footer heading navigates correctly","","2026-09-11","failed","2026-09-11","","","",""
"","48967","Training menu shows submenus","","2026-09-11","failed","2026-09-11","","","",""
"","1","The pre-login page loads successfully","","2026-09-11","skipped","2026-09-11","","","",""
"","20003","Tools and Services menu shows submenus","","2026-09-11","failed","2026-09-11","","","",""
"","22655","Third footer consumer link navigates correctly","","2026-09-11","failed","2026-09-11","","","",""
"","96569","Sales and Marketing menu shows submenus","","2026-09-11","failed","2026-09-11","","","",""
"","58477","Orders menu shows submenus","","2026-09-11","failed","2026-09-11","","","",""
"","1","Login fails with invalid credentials","","2026-09-11","skipped","2026-09-11","","","",""
"","0","Log in with credentials from Excel","","2026-09-11","skipped","2026-09-11","","","",""
"","1","User can log out from the partner portal","","2026-09-11","skipped","2026-09-11","","","",""
