"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Log in with credentials from Excel","","2026-09-05","skipped","2026-09-05","","","",""
"","112342","Sales and Marketing menu shows submenus","","2026-09-05","failed","2026-09-05","","","",""
"","20027","Third footer consumer link navigates correctly","","2026-09-05","failed","2026-09-05","","","",""
"","30181","First footer heading navigates correctly","","2026-09-05","failed","2026-09-05","","","",""
"","54307","Tools and Services menu shows submenus","","2026-09-05","failed","2026-09-05","","","",""
"","59072","Orders menu shows submenus","","2026-09-05","failed","2026-09-05","","","",""
"","20204","Training menu shows submenus","","2026-09-05","failed","2026-09-05","","","",""
"","0","The pre-login page loads successfully","","2026-09-05","skipped","2026-09-05","","","",""
"","1","User can log out from the partner portal","","2026-09-05","skipped","2026-09-05","","","",""
"","0","Login fails with invalid credentials","","2026-09-05","skipped","2026-09-05","","","",""
