"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","The pre-login page loads successfully","","2026-09-09","skipped","2026-09-09","","","",""
"","1","Login fails with invalid credentials","","2026-09-09","skipped","2026-09-09","","","",""
"","100940","Sales and Marketing menu shows submenus","","2026-09-09","broken","2026-09-09","","","",""
"","74136","Training menu shows submenus","","2026-09-09","failed","2026-09-09","","","",""
"","0","Log in with credentials from Excel","","2026-09-09","skipped","2026-09-09","","","",""
"","63002","Tools and Services menu shows submenus","","2026-09-09","failed","2026-09-09","","","",""
"","0","User can log out from the partner portal","","2026-09-09","skipped","2026-09-09","","","",""
"","22744","Third footer consumer link navigates correctly","","2026-09-09","failed","2026-09-09","","","",""
"","18860","First footer heading navigates correctly","","2026-09-09","failed","2026-09-09","","","",""
"","78571","Orders menu shows submenus","","2026-09-09","broken","2026-09-09","","","",""
