"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75841","Sales and Marketing menu shows submenus","","2026-07-26","passed","2026-07-26","","","",""
"","1","The pre-login page loads successfully","","2026-07-26","skipped","2026-07-26","","","",""
"","29127","Orders menu shows submenus","","2026-07-26","passed","2026-07-26","","","",""
"","1","User can log out from the partner portal","","2026-07-26","skipped","2026-07-26","","","",""
"","12042","Third footer consumer link navigates correctly","","2026-07-26","passed","2026-07-26","","","",""
"","47913","Training menu shows submenus","","2026-07-26","passed","2026-07-26","","","",""
"","10701","First footer heading navigates correctly","","2026-07-26","passed","2026-07-26","","","",""
"","0","Login fails with invalid credentials","","2026-07-26","skipped","2026-07-26","","","",""
"","0","Log in with credentials from Excel","","2026-07-26","skipped","2026-07-26","","","",""
"","9328","Tools and Services menu shows submenus","","2026-07-26","passed","2026-07-26","","","",""
