"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72223","Sales and Marketing menu shows submenus","","2026-07-29","broken","2026-07-29","","","",""
"","0","The pre-login page loads successfully","","2026-07-29","skipped","2026-07-29","","","",""
"","41495","Tools and Services menu shows submenus","","2026-07-29","passed","2026-07-29","","","",""
"","1","Login fails with invalid credentials","","2026-07-29","skipped","2026-07-29","","","",""
"","14749","First footer heading navigates correctly","","2026-07-29","passed","2026-07-29","","","",""
"","13484","Third footer consumer link navigates correctly","","2026-07-29","passed","2026-07-29","","","",""
"","0","User can log out from the partner portal","","2026-07-29","skipped","2026-07-29","","","",""
"","139743","Orders menu shows submenus","","2026-07-29","passed","2026-07-29","","","",""
"","43045","Training menu shows submenus","","2026-07-29","passed","2026-07-29","","","",""
"","0","Log in with credentials from Excel","","2026-07-29","skipped","2026-07-29","","","",""
