"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","125758","Sales and Marketing menu shows submenus","","2026-07-30","passed","2026-07-30","","","",""
"","0","The pre-login page loads successfully","","2026-07-30","skipped","2026-07-30","","","",""
"","0","Log in with credentials from Excel","","2026-07-30","skipped","2026-07-30","","","",""
"","41975","First footer heading navigates correctly","","2026-07-30","passed","2026-07-30","","","",""
"","0","Login fails with invalid credentials","","2026-07-30","skipped","2026-07-30","","","",""
"","0","User can log out from the partner portal","","2026-07-30","skipped","2026-07-30","","","",""
"","65825","Orders menu shows submenus","","2026-07-30","passed","2026-07-30","","","",""
"","13517","Tools and Services menu shows submenus","","2026-07-30","passed","2026-07-30","","","",""
"","17085","Third footer consumer link navigates correctly","","2026-07-30","passed","2026-07-30","","","",""
"","16038","Training menu shows submenus","","2026-07-30","passed","2026-07-30","","","",""
