"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22265","Tools and Services menu shows submenus","","2026-09-04","failed","2026-09-04","","","",""
"","1","The pre-login page loads successfully","","2026-09-04","skipped","2026-09-04","","","",""
"","77227","Orders menu shows submenus","","2026-09-04","failed","2026-09-04","","","",""
"","44442","First footer heading navigates correctly","","2026-09-04","failed","2026-09-04","","","",""
"","0","Log in with credentials from Excel","","2026-09-04","skipped","2026-09-04","","","",""
"","22126","Training menu shows submenus","","2026-09-04","failed","2026-09-04","","","",""
"","22537","Third footer consumer link navigates correctly","","2026-09-04","failed","2026-09-04","","","",""
"","143719","Sales and Marketing menu shows submenus","","2026-09-04","failed","2026-09-04","","","",""
"","1","User can log out from the partner portal","","2026-09-04","skipped","2026-09-04","","","",""
"","0","Login fails with invalid credentials","","2026-09-04","skipped","2026-09-04","","","",""
