"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11854","Login fails with invalid credentials","","2026-06-28","broken","2026-06-28","","","",""
"","16405","Log in with credentials from Excel","","2026-06-28","passed","2026-06-28","","","",""
"","6204","The pre-login page loads successfully","","2026-06-28","passed","2026-06-28","","","",""
"","46617","User can log out from the partner portal","","2026-06-28","passed","2026-06-28","","","",""
