"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10981","Third footer consumer link navigates correctly","","2026-07-13","passed","2026-07-13","","","",""
"","74943","Sales and Marketing menu shows submenus","","2026-07-13","broken","2026-07-13","","","",""
"","0","User can log out from the partner portal","","2026-07-13","skipped","2026-07-13","","","",""
"","0","Login fails with invalid credentials","","2026-07-13","skipped","2026-07-13","","","",""
"","49901","Tools and Services menu shows submenus","","2026-07-13","passed","2026-07-13","","","",""
"","11429","Training menu shows submenus","","2026-07-13","passed","2026-07-13","","","",""
"","1","Log in with credentials from Excel","","2026-07-13","skipped","2026-07-13","","","",""
"","46409","First footer heading navigates correctly","","2026-07-13","passed","2026-07-13","","","",""
"","63612","Orders menu shows submenus","","2026-07-13","passed","2026-07-13","","","",""
"","1","The pre-login page loads successfully","","2026-07-13","skipped","2026-07-13","","","",""
