"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38792","Training menu shows submenus","","2026-07-06","passed","2026-07-06","","","",""
"","9845","Third footer consumer link navigates correctly","","2026-07-06","passed","2026-07-06","","","",""
"","11483","First footer heading navigates correctly","","2026-07-06","passed","2026-07-06","","","",""
"","1","Login fails with invalid credentials","","2026-07-06","skipped","2026-07-06","","","",""
"","52889","Orders menu shows submenus","","2026-07-06","passed","2026-07-06","","","",""
"","0","Log in with credentials from Excel","","2026-07-06","skipped","2026-07-06","","","",""
"","9143","Tools and Services menu shows submenus","","2026-07-06","passed","2026-07-06","","","",""
"","0","The pre-login page loads successfully","","2026-07-06","skipped","2026-07-06","","","",""
"","1","User can log out from the partner portal","","2026-07-06","skipped","2026-07-06","","","",""
"","124941","Sales and Marketing menu shows submenus","","2026-07-06","broken","2026-07-06","","","",""
