"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15728","First footer heading navigates correctly","","2026-08-06","passed","2026-08-06","","","",""
"","0","Log in with credentials from Excel","","2026-08-06","skipped","2026-08-06","","","",""
"","118851","Orders menu shows submenus","","2026-08-06","passed","2026-08-06","","","",""
"","0","Login fails with invalid credentials","","2026-08-06","skipped","2026-08-06","","","",""
"","0","User can log out from the partner portal","","2026-08-06","skipped","2026-08-06","","","",""
"","77293","Sales and Marketing menu shows submenus","","2026-08-06","broken","2026-08-06","","","",""
"","9820","Third footer consumer link navigates correctly","","2026-08-06","passed","2026-08-06","","","",""
"","1","The pre-login page loads successfully","","2026-08-06","skipped","2026-08-06","","","",""
"","40247","Training menu shows submenus","","2026-08-06","passed","2026-08-06","","","",""
"","25525","Tools and Services menu shows submenus","","2026-08-06","passed","2026-08-06","","","",""
