"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Log in with credentials from Excel","","2026-07-14","skipped","2026-07-14","","","",""
"","1","User can log out from the partner portal","","2026-07-14","skipped","2026-07-14","","","",""
"","33577","Training menu shows submenus","","2026-07-14","passed","2026-07-14","","","",""
"","39396","Tools and Services menu shows submenus","","2026-07-14","passed","2026-07-14","","","",""
"","29428","Orders menu shows submenus","","2026-07-14","passed","2026-07-14","","","",""
"","140931","Sales and Marketing menu shows submenus","","2026-07-14","passed","2026-07-14","","","",""
"","11685","Third footer consumer link navigates correctly","","2026-07-14","passed","2026-07-14","","","",""
"","0","Login fails with invalid credentials","","2026-07-14","skipped","2026-07-14","","","",""
"","14196","First footer heading navigates correctly","","2026-07-14","passed","2026-07-14","","","",""
"","0","The pre-login page loads successfully","","2026-07-14","skipped","2026-07-14","","","",""
