"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Login fails with invalid credentials","","2026-07-25","skipped","2026-07-25","","","",""
"","13272","Orders menu shows submenus","","2026-07-25","passed","2026-07-25","","","",""
"","0","User can log out from the partner portal","","2026-07-25","skipped","2026-07-25","","","",""
"","0","The pre-login page loads successfully","","2026-07-25","skipped","2026-07-25","","","",""
"","127749","Sales and Marketing menu shows submenus","","2026-07-25","passed","2026-07-25","","","",""
"","15174","First footer heading navigates correctly","","2026-07-25","passed","2026-07-25","","","",""
"","32243","Tools and Services menu shows submenus","","2026-07-25","passed","2026-07-25","","","",""
"","50650","Training menu shows submenus","","2026-07-25","passed","2026-07-25","","","",""
"","0","Log in with credentials from Excel","","2026-07-25","skipped","2026-07-25","","","",""
"","12247","Third footer consumer link navigates correctly","","2026-07-25","passed","2026-07-25","","","",""
