"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","62885","Training menu shows submenus","","2026-09-23","failed","2026-09-23","","","",""
"","1","Login fails with invalid credentials","","2026-09-23","skipped","2026-09-23","","","",""
"","44836","Third footer consumer link navigates correctly","","2026-09-23","failed","2026-09-23","","","",""
"","22275","Tools and Services menu shows submenus","","2026-09-23","failed","2026-09-23","","","",""
"","0","Log in with credentials from Excel","","2026-09-23","skipped","2026-09-23","","","",""
"","1","User can log out from the partner portal","","2026-09-23","skipped","2026-09-23","","","",""
"","20336","First footer heading navigates correctly","","2026-09-23","failed","2026-09-23","","","",""
"","33791","Orders menu shows submenus","","2026-09-23","failed","2026-09-23","","","",""
"","95672","Sales and Marketing menu shows submenus","","2026-09-23","failed","2026-09-23","","","",""
"","0","The pre-login page loads successfully","","2026-09-23","skipped","2026-09-23","","","",""
