"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","User can log out from the partner portal","","2026-08-29","skipped","2026-08-29","","","",""
"","34961","First footer heading navigates correctly","","2026-08-29","failed","2026-08-29","","","",""
"","0","The pre-login page loads successfully","","2026-08-29","skipped","2026-08-29","","","",""
"","34922","Orders menu shows submenus","","2026-08-29","failed","2026-08-29","","","",""
"","0","Login fails with invalid credentials","","2026-08-29","skipped","2026-08-29","","","",""
"","19578","Third footer consumer link navigates correctly","","2026-08-29","failed","2026-08-29","","","",""
"","65346","Tools and Services menu shows submenus","","2026-08-29","failed","2026-08-29","","","",""
"","83219","Sales and Marketing menu shows submenus","","2026-08-29","broken","2026-08-29","","","",""
"","1","Log in with credentials from Excel","","2026-08-29","skipped","2026-08-29","","","",""
"","21600","Training menu shows submenus","","2026-08-29","failed","2026-08-29","","","",""
