"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Login fails with invalid credentials","","2026-08-08","skipped","2026-08-08","","","",""
"","62753","Tools and Services menu shows submenus","","2026-08-08","broken","2026-08-08","","","",""
"","72348","First footer heading navigates correctly","","2026-08-08","broken","2026-08-08","","","",""
"","1","The pre-login page loads successfully","","2026-08-08","skipped","2026-08-08","","","",""
"","68671","Sales and Marketing menu shows submenus","","2026-08-08","broken","2026-08-08","","","",""
"","1","Log in with credentials from Excel","","2026-08-08","skipped","2026-08-08","","","",""
"","63134","Third footer consumer link navigates correctly","","2026-08-08","broken","2026-08-08","","","",""
"","72153","Orders menu shows submenus","","2026-08-08","broken","2026-08-08","","","",""
"","62575","Training menu shows submenus","","2026-08-08","broken","2026-08-08","","","",""
"","1","User can log out from the partner portal","","2026-08-08","skipped","2026-08-08","","","",""
