"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19085","First footer heading navigates correctly","","2026-09-08","failed","2026-09-08","","","",""
"","0","User can log out from the partner portal","","2026-09-08","skipped","2026-09-08","","","",""
"","0","Login fails with invalid credentials","","2026-09-08","skipped","2026-09-08","","","",""
"","70900","Sales and Marketing menu shows submenus","","2026-09-08","broken","2026-09-08","","","",""
"","35084","Training menu shows submenus","","2026-09-08","failed","2026-09-08","","","",""
"","44258","Tools and Services menu shows submenus","","2026-09-08","failed","2026-09-08","","","",""
"","126148","Orders menu shows submenus","","2026-09-08","failed","2026-09-08","","","",""
"","1","The pre-login page loads successfully","","2026-09-08","skipped","2026-09-08","","","",""
"","33646","Third footer consumer link navigates correctly","","2026-09-08","failed","2026-09-08","","","",""
"","0","Log in with credentials from Excel","","2026-09-08","skipped","2026-09-08","","","",""
