"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","The pre-login page loads successfully","","2026-08-18","skipped","2026-08-18","","","",""
"","0","Log in with credentials from Excel","","2026-08-18","skipped","2026-08-18","","","",""
"","1","User can log out from the partner portal","","2026-08-18","skipped","2026-08-18","","","",""
"","71980","Sales and Marketing menu shows submenus","","2026-08-18","broken","2026-08-18","","","",""
"","1","Login fails with invalid credentials","","2026-08-18","skipped","2026-08-18","","","",""
"","114407","Orders menu shows submenus","","2026-08-18","broken","2026-08-18","","","",""
"","37740","Tools and Services menu shows submenus","","2026-08-18","failed","2026-08-18","","","",""
"","21428","Third footer consumer link navigates correctly","","2026-08-18","failed","2026-08-18","","","",""
"","69369","Training menu shows submenus","","2026-08-18","broken","2026-08-18","","","",""
"","21331","First footer heading navigates correctly","","2026-08-18","failed","2026-08-18","","","",""
