"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","The pre-login page loads successfully","","2026-08-11","skipped","2026-08-11","","","",""
"","28242","Training menu shows submenus","","2026-08-11","passed","2026-08-11","","","",""
"","0","User can log out from the partner portal","","2026-08-11","skipped","2026-08-11","","","",""
"","43975","Orders menu shows submenus","","2026-08-11","passed","2026-08-11","","","",""
"","34658","Tools and Services menu shows submenus","","2026-08-11","passed","2026-08-11","","","",""
"","1","Login fails with invalid credentials","","2026-08-11","skipped","2026-08-11","","","",""
"","91788","Sales and Marketing menu shows submenus","","2026-08-11","passed","2026-08-11","","","",""
"","14099","First footer heading navigates correctly","","2026-08-11","passed","2026-08-11","","","",""
"","9699","Third footer consumer link navigates correctly","","2026-08-11","passed","2026-08-11","","","",""
"","0","Log in with credentials from Excel","","2026-08-11","skipped","2026-08-11","","","",""
