"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32820","Tools and Services menu shows submenus","","2026-07-15","passed","2026-07-15","","","",""
"","1","Login fails with invalid credentials","","2026-07-15","skipped","2026-07-15","","","",""
"","0","Log in with credentials from Excel","","2026-07-15","skipped","2026-07-15","","","",""
"","1","The pre-login page loads successfully","","2026-07-15","skipped","2026-07-15","","","",""
"","77739","Sales and Marketing menu shows submenus","","2026-07-15","broken","2026-07-15","","","",""
"","89097","Orders menu shows submenus","","2026-07-15","passed","2026-07-15","","","",""
"","0","User can log out from the partner portal","","2026-07-15","skipped","2026-07-15","","","",""
"","34566","Third footer consumer link navigates correctly","","2026-07-15","passed","2026-07-15","","","",""
"","23234","Training menu shows submenus","","2026-07-15","passed","2026-07-15","","","",""
"","12797","First footer heading navigates correctly","","2026-07-15","passed","2026-07-15","","","",""
