"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Log in with credentials from Excel","","2026-07-03","skipped","2026-07-03","","","",""
"","0","The pre-login page loads successfully","","2026-07-03","skipped","2026-07-03","","","",""
"","32629","Orders menu shows submenus","","2026-07-03","passed","2026-07-03","","","",""
"","13269","First footer heading navigates correctly","","2026-07-03","passed","2026-07-03","","","",""
"","60863","Sales and Marketing menu shows submenus","","2026-07-03","broken","2026-07-03","","","",""
"","13842","Tools and Services menu shows submenus","","2026-07-03","passed","2026-07-03","","","",""
"","25723","Training menu shows submenus","","2026-07-03","passed","2026-07-03","","","",""
"","1","User can log out from the partner portal","","2026-07-03","skipped","2026-07-03","","","",""
"","1","Login fails with invalid credentials","","2026-07-03","skipped","2026-07-03","","","",""
"","12253","Third footer consumer link navigates correctly","","2026-07-03","passed","2026-07-03","","","",""
