"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36503","First footer heading navigates correctly","","2026-08-26","broken","2026-08-26","","","",""
"","98685","Third footer consumer link navigates correctly","","2026-08-26","failed","2026-08-26","","","",""
"","0","The pre-login page loads successfully","","2026-08-26","skipped","2026-08-26","","","",""
"","72298","Training menu shows submenus","","2026-08-26","broken","2026-08-26","","","",""
"","0","User can log out from the partner portal","","2026-08-26","skipped","2026-08-26","","","",""
"","0","Login fails with invalid credentials","","2026-08-26","skipped","2026-08-26","","","",""
"","0","Log in with credentials from Excel","","2026-08-26","skipped","2026-08-26","","","",""
"","96431","Orders menu shows submenus","","2026-08-26","broken","2026-08-26","","","",""
"","54258","Tools and Services menu shows submenus","","2026-08-26","failed","2026-08-26","","","",""
"","99310","Sales and Marketing menu shows submenus","","2026-08-26","failed","2026-08-26","","","",""
