"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Login fails with invalid credentials","","2026-09-07","skipped","2026-09-07","","","",""
"","24299","Third footer consumer link navigates correctly","","2026-09-07","failed","2026-09-07","","","",""
"","1","The pre-login page loads successfully","","2026-09-07","skipped","2026-09-07","","","",""
"","0","User can log out from the partner portal","","2026-09-07","skipped","2026-09-07","","","",""
"","135746","Sales and Marketing menu shows submenus","","2026-09-07","failed","2026-09-07","","","",""
"","61262","Training menu shows submenus","","2026-09-07","failed","2026-09-07","","","",""
"","0","Log in with credentials from Excel","","2026-09-07","skipped","2026-09-07","","","",""
"","21273","First footer heading navigates correctly","","2026-09-07","failed","2026-09-07","","","",""
"","20663","Tools and Services menu shows submenus","","2026-09-07","failed","2026-09-07","","","",""
"","58584","Orders menu shows submenus","","2026-09-07","failed","2026-09-07","","","",""
