"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","The pre-login page loads successfully","","2026-09-19","skipped","2026-09-19","","","",""
"","19119","First footer heading navigates correctly","","2026-09-19","failed","2026-09-19","","","",""
"","0","Log in with credentials from Excel","","2026-09-19","skipped","2026-09-19","","","",""
"","19902","Tools and Services menu shows submenus","","2026-09-19","failed","2026-09-19","","","",""
"","18811","Third footer consumer link navigates correctly","","2026-09-19","failed","2026-09-19","","","",""
"","144065","Sales and Marketing menu shows submenus","","2026-09-19","failed","2026-09-19","","","",""
"","42960","Training menu shows submenus","","2026-09-19","failed","2026-09-19","","","",""
"","1","Login fails with invalid credentials","","2026-09-19","skipped","2026-09-19","","","",""
"","0","User can log out from the partner portal","","2026-09-19","skipped","2026-09-19","","","",""
"","50346","Orders menu shows submenus","","2026-09-19","failed","2026-09-19","","","",""
