"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Login fails with invalid credentials","","2026-07-03","skipped","2026-07-03","","","",""
"","0","The pre-login page loads successfully","","2026-07-03","skipped","2026-07-03","","","",""
"","10412","Third footer consumer link navigates correctly","","2026-07-03","passed","2026-07-03","","","",""
"","55059","Orders menu shows submenus","","2026-07-03","broken","2026-07-03","","","",""
"","38186","Training menu shows submenus","","2026-07-03","passed","2026-07-03","","","",""
"","11403","First footer heading navigates correctly","","2026-07-03","passed","2026-07-03","","","",""
"","10432","Tools and Services menu shows submenus","","2026-07-03","passed","2026-07-03","","","",""
"","0","Log in with credentials from Excel","","2026-07-03","skipped","2026-07-03","","","",""
"","1","User can log out from the partner portal","","2026-07-03","skipped","2026-07-03","","","",""
"","99841","Sales and Marketing menu shows submenus","","2026-07-03","broken","2026-07-03","","","",""
