"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22103","Training menu shows submenus","","2026-07-09","passed","2026-07-09","","","",""
"","0","Log in with credentials from Excel","","2026-07-09","skipped","2026-07-09","","","",""
"","0","The pre-login page loads successfully","","2026-07-09","skipped","2026-07-09","","","",""
"","37544","First footer heading navigates correctly","","2026-07-09","passed","2026-07-09","","","",""
"","33868","Tools and Services menu shows submenus","","2026-07-09","passed","2026-07-09","","","",""
"","1","User can log out from the partner portal","","2026-07-09","skipped","2026-07-09","","","",""
"","11944","Orders menu shows submenus","","2026-07-09","passed","2026-07-09","","","",""
"","12849","Third footer consumer link navigates correctly","","2026-07-09","passed","2026-07-09","","","",""
"","126832","Sales and Marketing menu shows submenus","","2026-07-09","passed","2026-07-09","","","",""
"","1","Login fails with invalid credentials","","2026-07-09","skipped","2026-07-09","","","",""
