"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19330","Third footer consumer link navigates correctly","","2026-08-28","failed","2026-08-28","","","",""
"","0","The pre-login page loads successfully","","2026-08-28","skipped","2026-08-28","","","",""
"","0","User can log out from the partner portal","","2026-08-28","skipped","2026-08-28","","","",""
"","19309","First footer heading navigates correctly","","2026-08-28","failed","2026-08-28","","","",""
"","1","Log in with credentials from Excel","","2026-08-28","skipped","2026-08-28","","","",""
"","0","Login fails with invalid credentials","","2026-08-28","skipped","2026-08-28","","","",""
"","79508","Sales and Marketing menu shows submenus","","2026-08-28","failed","2026-08-28","","","",""
"","53306","Orders menu shows submenus","","2026-08-28","failed","2026-08-28","","","",""
"","19446","Tools and Services menu shows submenus","","2026-08-28","failed","2026-08-28","","","",""
"","30534","Training menu shows submenus","","2026-08-28","failed","2026-08-28","","","",""
