"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21797","Orders menu shows submenus","","2026-08-20","failed","2026-08-20","","","",""
"","1","User can log out from the partner portal","","2026-08-20","skipped","2026-08-20","","","",""
"","53046","First footer heading navigates correctly","","2026-08-20","failed","2026-08-20","","","",""
"","0","Login fails with invalid credentials","","2026-08-20","skipped","2026-08-20","","","",""
"","0","The pre-login page loads successfully","","2026-08-20","skipped","2026-08-20","","","",""
"","19910","Tools and Services menu shows submenus","","2026-08-20","failed","2026-08-20","","","",""
"","96251","Third footer consumer link navigates correctly","","2026-08-20","broken","2026-08-20","","","",""
"","1","Log in with credentials from Excel","","2026-08-20","skipped","2026-08-20","","","",""
"","68173","Training menu shows submenus","","2026-08-20","failed","2026-08-20","","","",""
"","105888","Sales and Marketing menu shows submenus","","2026-08-20","broken","2026-08-20","","","",""
