"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21947","First footer heading navigates correctly","","2026-09-03","failed","2026-09-03","","","",""
"","68949","Orders menu shows submenus","","2026-09-03","failed","2026-09-03","","","",""
"","124378","Sales and Marketing menu shows submenus","","2026-09-03","broken","2026-09-03","","","",""
"","0","The pre-login page loads successfully","","2026-09-03","skipped","2026-09-03","","","",""
"","53766","Third footer consumer link navigates correctly","","2026-09-03","failed","2026-09-03","","","",""
"","1","Log in with credentials from Excel","","2026-09-03","skipped","2026-09-03","","","",""
"","1","User can log out from the partner portal","","2026-09-03","skipped","2026-09-03","","","",""
"","21794","Training menu shows submenus","","2026-09-03","failed","2026-09-03","","","",""
"","1","Login fails with invalid credentials","","2026-09-03","skipped","2026-09-03","","","",""
"","20270","Tools and Services menu shows submenus","","2026-09-03","failed","2026-09-03","","","",""
