"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9752","Third footer consumer link navigates correctly","","2026-07-27","passed","2026-07-27","","","",""
"","0","The pre-login page loads successfully","","2026-07-27","skipped","2026-07-27","","","",""
"","0","Log in with credentials from Excel","","2026-07-27","skipped","2026-07-27","","","",""
"","1","User can log out from the partner portal","","2026-07-27","skipped","2026-07-27","","","",""
"","126260","Orders menu shows submenus","","2026-07-27","passed","2026-07-27","","","",""
"","1","Login fails with invalid credentials","","2026-07-27","skipped","2026-07-27","","","",""
"","71584","Sales and Marketing menu shows submenus","","2026-07-27","broken","2026-07-27","","","",""
"","11018","Training menu shows submenus","","2026-07-27","passed","2026-07-27","","","",""
"","38623","Tools and Services menu shows submenus","","2026-07-27","passed","2026-07-27","","","",""
"","22216","First footer heading navigates correctly","","2026-07-27","passed","2026-07-27","","","",""
