"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Login fails with invalid credentials","","2026-08-09","skipped","2026-08-09","","","",""
"","23366","Third footer consumer link navigates correctly","","2026-08-09","passed","2026-08-09","","","",""
"","13346","Tools and Services menu shows submenus","","2026-08-09","passed","2026-08-09","","","",""
"","0","Log in with credentials from Excel","","2026-08-09","skipped","2026-08-09","","","",""
"","13193","Training menu shows submenus","","2026-08-09","passed","2026-08-09","","","",""
"","0","The pre-login page loads successfully","","2026-08-09","skipped","2026-08-09","","","",""
"","1","User can log out from the partner portal","","2026-08-09","skipped","2026-08-09","","","",""
"","14882","First footer heading navigates correctly","","2026-08-09","passed","2026-08-09","","","",""
"","97014","Sales and Marketing menu shows submenus","","2026-08-09","broken","2026-08-09","","","",""
"","73296","Orders menu shows submenus","","2026-08-09","passed","2026-08-09","","","",""
