"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","The pre-login page loads successfully","","2026-07-03","skipped","2026-07-03","","","",""
"","8653","Tools and Services menu shows submenus","","2026-07-03","passed","2026-07-03","","","",""
"","0","Log in with credentials from Excel","","2026-07-03","skipped","2026-07-03","","","",""
"","13631","Third footer consumer link navigates correctly","","2026-07-03","passed","2026-07-03","","","",""
"","0","Login fails with invalid credentials","","2026-07-03","skipped","2026-07-03","","","",""
"","12287","Sales and Marketing menu shows submenus","","2026-07-03","passed","2026-07-03","","","",""
"","12482","Orders menu shows submenus","","2026-07-03","passed","2026-07-03","","","",""
"","8058","Training menu shows submenus","","2026-07-03","passed","2026-07-03","","","",""
"","1","User can log out from the partner portal","","2026-07-03","skipped","2026-07-03","","","",""
"","9987","First footer heading navigates correctly","","2026-07-03","passed","2026-07-03","","","",""
