"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","73109","Tools and Services menu shows submenus","","2026-08-14","broken","2026-08-14","","","",""
"","0","Login fails with invalid credentials","","2026-08-14","skipped","2026-08-14","","","",""
"","1","User can log out from the partner portal","","2026-08-14","skipped","2026-08-14","","","",""
"","0","The pre-login page loads successfully","","2026-08-14","skipped","2026-08-14","","","",""
"","63169","Orders menu shows submenus","","2026-08-14","broken","2026-08-14","","","",""
"","84543","Sales and Marketing menu shows submenus","","2026-08-14","broken","2026-08-14","","","",""
"","1","Log in with credentials from Excel","","2026-08-14","skipped","2026-08-14","","","",""
"","63014","Third footer consumer link navigates correctly","","2026-08-14","broken","2026-08-14","","","",""
"","78769","Training menu shows submenus","","2026-08-14","broken","2026-08-14","","","",""
"","64282","First footer heading navigates correctly","","2026-08-14","broken","2026-08-14","","","",""
