"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","87030","Orders menu shows submenus","","2026-07-20","passed","2026-07-20","","","",""
"","13808","Training menu shows submenus","","2026-07-20","passed","2026-07-20","","","",""
"","11699","First footer heading navigates correctly","","2026-07-20","passed","2026-07-20","","","",""
"","42347","Tools and Services menu shows submenus","","2026-07-20","passed","2026-07-20","","","",""
"","0","Log in with credentials from Excel","","2026-07-20","skipped","2026-07-20","","","",""
"","11171","Third footer consumer link navigates correctly","","2026-07-20","passed","2026-07-20","","","",""
"","124089","Sales and Marketing menu shows submenus","","2026-07-20","passed","2026-07-20","","","",""
"","0","Login fails with invalid credentials","","2026-07-20","skipped","2026-07-20","","","",""
"","1","The pre-login page loads successfully","","2026-07-20","skipped","2026-07-20","","","",""
"","0","User can log out from the partner portal","","2026-07-20","skipped","2026-07-20","","","",""
