"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","User can log out from the partner portal","","2026-07-05","skipped","2026-07-05","","","",""
"","11172","First footer heading navigates correctly","","2026-07-05","passed","2026-07-05","","","",""
"","0","The pre-login page loads successfully","","2026-07-05","skipped","2026-07-05","","","",""
"","0","Log in with credentials from Excel","","2026-07-05","skipped","2026-07-05","","","",""
"","123356","Sales and Marketing menu shows submenus","","2026-07-05","passed","2026-07-05","","","",""
"","9654","Third footer consumer link navigates correctly","","2026-07-05","passed","2026-07-05","","","",""
"","1","Login fails with invalid credentials","","2026-07-05","skipped","2026-07-05","","","",""
"","9353","Training menu shows submenus","","2026-07-05","passed","2026-07-05","","","",""
"","44805","Orders menu shows submenus","","2026-07-05","passed","2026-07-05","","","",""
"","36220","Tools and Services menu shows submenus","","2026-07-05","passed","2026-07-05","","","",""
