"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","79287","Orders menu shows submenus","","2026-09-21","failed","2026-09-21","","","",""
"","1","Log in with credentials from Excel","","2026-09-21","skipped","2026-09-21","","","",""
"","24309","First footer heading navigates correctly","","2026-09-21","failed","2026-09-21","","","",""
"","70878","Sales and Marketing menu shows submenus","","2026-09-21","broken","2026-09-21","","","",""
"","1","Login fails with invalid credentials","","2026-09-21","skipped","2026-09-21","","","",""
"","61893","Training menu shows submenus","","2026-09-21","failed","2026-09-21","","","",""
"","0","User can log out from the partner portal","","2026-09-21","skipped","2026-09-21","","","",""
"","21575","Third footer consumer link navigates correctly","","2026-09-21","failed","2026-09-21","","","",""
"","0","The pre-login page loads successfully","","2026-09-21","skipped","2026-09-21","","","",""
"","50293","Tools and Services menu shows submenus","","2026-09-21","failed","2026-09-21","","","",""
