"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24385","Orders menu shows submenus","","2026-09-24","failed","2026-09-24","","","",""
"","0","User can log out from the partner portal","","2026-09-24","skipped","2026-09-24","","","",""
"","97914","Sales and Marketing menu shows submenus","","2026-09-24","failed","2026-09-24","","","",""
"","56717","Training menu shows submenus","","2026-09-24","broken","2026-09-24","","","",""
"","0","The pre-login page loads successfully","","2026-09-24","skipped","2026-09-24","","","",""
"","0","Log in with credentials from Excel","","2026-09-24","skipped","2026-09-24","","","",""
"","47422","First footer heading navigates correctly","","2026-09-24","broken","2026-09-24","","","",""
"","29698","Tools and Services menu shows submenus","","2026-09-24","failed","2026-09-24","","","",""
"","21774","Third footer consumer link navigates correctly","","2026-09-24","failed","2026-09-24","","","",""
"","0","Login fails with invalid credentials","","2026-09-24","skipped","2026-09-24","","","",""
